Entity,Code,Year,Very important in life: Family,Continent
French Southern Territories,ATF,2015,,Antarctica
Gabon,GAB,2015,,Africa
Gambia,GMB,2015,,Africa
Georgia,GEO,1998,94.57172,
Georgia,GEO,2010,94.75562,
Georgia,GEO,2014,98.4193,
Georgia,GEO,2022,90.64869,
Georgia,GEO,2015,,Asia
Germany,DEU,1993,72.6059,
Germany,DEU,1998,78.4304,
Germany,DEU,2004,80.45415,
Germany,DEU,2010,79.30217,
Germany,DEU,2014,77.7459,
Germany,DEU,2022,87.97746,
Germany,DEU,2015,,Europe
Ghana,GHA,2010,94.39375,
Ghana,GHA,2014,95.86668,
Ghana,GHA,2015,,Africa
Gibraltar,GIB,2015,,Europe
Greece,GRC,2004,82.45614,
Greece,GRC,2010,85.60522,
Greece,GRC,2022,94.06371,
Greece,GRC,2015,,Europe
Greenland,GRL,2015,,North America
Grenada,GRD,2015,,North America
Guadeloupe,GLP,2015,,North America
Guam,GUM,2015,,Oceania
Guatemala,GTM,2010,98.41326,
Guatemala,GTM,2022,87.30676,
Guatemala,GTM,2015,,North America
Guernsey,GGY,2015,,Europe
Guinea,GIN,2015,,Africa
Guinea-Bissau,GNB,2015,,Africa
Guyana,GUY,2015,,South America
Haiti,HTI,2014,71.51454,
Haiti,HTI,2015,,North America
Hanover,OWID_HAN,2015,,Europe
Heard Island and McDonald Islands,HMD,2015,,Antarctica
Hesse Electoral,OWID_HSE,2015,,Europe
Hesse Grand Ducal,OWID_HSG,2015,,Europe
Honduras,HND,2015,,North America
Hong Kong,HKG,2010,55.35144,
Hong Kong,HKG,2014,85.1,
Hong Kong,HKG,2022,78.70481,
Hong Kong,HKG,2015,,Asia
Hungary,HUN,1993,88.18819,
Hungary,HUN,1998,89.38461,
Hungary,HUN,2004,88.64347,
Hungary,HUN,2010,89.29984,
Hungary,HUN,2022,90.01335,
Hungary,HUN,2015,,Europe
Iceland,ISL,1993,90.74074,
Iceland,ISL,2004,94.21487,
Iceland,ISL,2010,95.36317,
Iceland,ISL,2022,95.27486,
Iceland,ISL,2015,,Europe
India,IND,1993,76.8,
India,IND,1998,90.83334,
India,IND,2004,91.90809,
India,IND,2010,90.10495,
India,IND,2014,94.92399,
India,IND,2015,,Asia
Indonesia,IDN,2004,99,
Indonesia,IDN,2010,97.41936,
Indonesia,IDN,2022,98.03461,
Indonesia,IDN,2015,,Asia
Iran,IRN,2004,94.11533,
Iran,IRN,2010,93.70078,
Iran,IRN,2022,93.92928,
Iran,IRN,2015,,Asia
Iraq,IRQ,2004,97.33334,
Iraq,IRQ,2010,95.89041,
Iraq,IRQ,2014,92.91666,
Iraq,IRQ,2022,97.25,
Iraq,IRQ,2015,,Asia
Ireland,IRL,1993,91.1,
Ireland,IRL,2004,90.61313,
Ireland,IRL,2010,89.43845,
Ireland,IRL,2015,,Europe
Isle of Man,IMN,2015,,Europe
Israel,ISR,2015,,Asia
Italy,ITA,1993,88.12247,
Italy,ITA,2004,89.8,
Italy,ITA,2010,91.84351,
Italy,ITA,2022,90.06403,
Italy,ITA,2015,,Europe
Jamaica,JAM,2015,,North America
Japan,JPN,1993,77.34916,
Japan,JPN,1998,89.8482,
Japan,JPN,2004,91.26285,
Japan,JPN,2010,91.33212,
Japan,JPN,2014,90.83095,
Japan,JPN,2022,92.01774,
Japan,JPN,2015,,Asia
Jersey,JEY,2015,,Europe
Jordan,JOR,2004,96.64055,
Jordan,JOR,2010,96.79207,
Jordan,JOR,2014,95.83333,
Jordan,JOR,2022,97.92186,
Jordan,JOR,2015,,Asia
Kazakhstan,KAZ,2014,92.42022,
Kazakhstan,KAZ,2022,93.4953,
Kazakhstan,KAZ,2015,,Asia
Kenya,KEN,2022,97.07741,
Kenya,KEN,2015,,Africa
Kiribati,KIR,2015,,Oceania
Korea (former),OWID_KRU,2015,,Asia
Kosovo,OWID_KOS,2010,85.86662,
Kosovo,OWID_KOS,2015,,Europe
Kuwait,KWT,2014,93.16961,
Kuwait,KWT,2015,,Asia
Kyrgyzstan,KGZ,2004,87.15244,
Kyrgyzstan,KGZ,2014,96.46667,
Kyrgyzstan,KGZ,2022,92.38799,
Kyrgyzstan,KGZ,2015,,Asia
Laos,LAO,2015,,Asia
Latvia,LVA,1993,70.43189,
Latvia,LVA,1998,67.83334,
Latvia,LVA,2004,70.48371,
Latvia,LVA,2010,66.29893,
Latvia,LVA,2022,78.51185,
Latvia,LVA,2015,,Europe
Lebanon,LBN,2014,75.08334,
Lebanon,LBN,2022,96.83333,
Lebanon,LBN,2015,,Asia
Lesotho,LSO,2015,,Africa
Liberia,LBR,2015,,Africa
Libya,LBY,2014,96.88452,
Libya,LBY,2022,98.07692,
Libya,LBY,2015,,Africa
Liechtenstein,LIE,2015,,Europe
Lithuania,LTU,1993,64.2,
Lithuania,LTU,1998,73.24084,
Lithuania,LTU,2004,64.72101,
Lithuania,LTU,2010,62.10979,
Lithuania,LTU,2022,66.69552,
Lithuania,LTU,2015,,Europe
Luxembourg,LUX,2004,87.72118,
Luxembourg,LUX,2010,90.16116,
Luxembourg,LUX,2015,,Europe
Macao,MAC,2022,86.09206,
Macao,MAC,2015,,Asia
Madagascar,MDG,2015,,Africa
Malawi,MWI,2015,,Africa
Malaysia,MYS,2010,96.16986,
Malaysia,MYS,2014,97.69231,
Malaysia,MYS,2022,96.34425,
Malaysia,MYS,2015,,Asia
Maldives,MDV,2022,96.0539,
Maldives,MDV,2015,,Asia
Mali,MLI,2010,91.5199,
Mali,MLI,2015,,Africa
Malta,MLT,1993,94.57222,
Malta,MLT,2004,95.22601,
Malta,MLT,2010,92.48297,
Malta,MLT,2015,,Europe
Marshall Islands,MHL,2015,,Oceania
Martinique,MTQ,2015,,North America
Mauritania,MRT,2015,,Africa
Mauritius,MUS,2015,,Africa
Mayotte,MYT,2015,,Africa
Mecklenburg Schwerin,OWID_MEC,2015,,Europe
Mexico,MEX,1993,84.58524,
Mexico,MEX,1998,74.30463,
Mexico,MEX,2004,96.64476,
Mexico,MEX,2010,94.9359,
Mexico,MEX,2014,97.6,
Mexico,MEX,2022,97.10317,
Mexico,MEX,2015,,North America
Micronesia (country),FSM,2015,,Oceania
Modena,OWID_MOD,2015,,Europe
Moldova,MDA,1998,78.96342,
Moldova,MDA,2004,85.01112,
Moldova,MDA,2010,78.84436,
Moldova,MDA,2015,,Europe
Monaco,MCO,2015,,Europe
Mongolia,MNG,2022,81.39333,
Mongolia,MNG,2015,,Asia
Montenegro,MNE,1998,88.33334,
Montenegro,MNE,2004,92.26415,
Montenegro,MNE,2010,91.49891,
Montenegro,MNE,2022,88.78254,
Montenegro,MNE,2015,,Europe
Montserrat,MSR,2015,,North America
Morocco,MAR,2004,93.3797,
Morocco,MAR,2010,96,
Morocco,MAR,2014,90.66667,
Morocco,MAR,2022,89.08333,
Morocco,MAR,2015,,Africa
Mozambique,MOZ,2015,,Africa
Myanmar,MMR,2022,86.58334,
Myanmar,MMR,2015,,Asia
Nagorno-Karabakh,OWID_NAG,2015,,Asia
Namibia,NAM,2015,,Africa
Nauru,NRU,2015,,Oceania
Nepal,NPL,2015,,Asia
Netherlands,NLD,1993,79.10809,
Netherlands,NLD,2004,78.87823,
Netherlands,NLD,2010,83.3721,
Netherlands,NLD,2014,85.48896,
Netherlands,NLD,2022,76.89294,
Netherlands,NLD,2015,,Europe
Netherlands Antilles,ANT,2015,,North America
New Caledonia,NCL,2015,,Oceania
New Zealand,NZL,1998,92.58951,
New Zealand,NZL,2010,93.2914,
New Zealand,NZL,2014,92.86563,
New Zealand,NZL,2022,90.92702,
New Zealand,NZL,2015,,Oceania
Nicaragua,NIC,2022,77.75,
Nicaragua,NIC,2015,,North America
Niger,NER,2015,,Africa
Nigeria,NGA,1993,93.8062,
Nigeria,NGA,1998,97.5423,
Nigeria,NGA,2004,98.91197,
Nigeria,NGA,2014,98.43392,
Nigeria,NGA,2022,98.42249,
Nigeria,NGA,2015,,Africa
Niue,NIU,2015,,Oceania
Norfolk Island,NFK,2015,,Oceania
North Korea,PRK,2015,,Asia
North Macedonia,MKD,1998,97.48743,
North Macedonia,MKD,2004,97.8936,
North Macedonia,MKD,2010,92.94498,
North Macedonia,MKD,2022,94.60903,
North Macedonia,MKD,2015,,Europe
Northern Cyprus,OWID_CYN,2010,95.00291,
Northern Cyprus,OWID_CYN,2015,,Asia
Northern Ireland,,1993,94.40789,
Northern Ireland,,2004,90.11733,
Northern Ireland,,2010,93.02299,
Northern Ireland,,2022,94.77071,
Northern Mariana Islands,MNP,2015,,Oceania
Norway,NOR,1993,87.89346,
Norway,NOR,1998,87.7551,
Norway,NOR,2010,90.02769,
Norway,NOR,2022,92.18514,
Norway,NOR,2015,,Europe
Oman,OMN,2015,,Asia
Pakistan,PAK,1998,80.76923,
Pakistan,PAK,2004,92.55,
Pakistan,PAK,2014,94.02309,
Pakistan,PAK,2022,92.58145,
Pakistan,PAK,2015,,Asia
Palau,PLW,2015,,Oceania
Palestine,PSE,2014,95.7,
Palestine,PSE,2015,,Asia
Panama,PAN,2015,,North America
Papua New Guinea,PNG,2015,,Oceania
Paraguay,PRY,2015,,South America
Parma,OWID_PMA,2015,,Europe
Peru,PER,1998,87.44839,
Peru,PER,2004,82.41173,
Peru,PER,2010,81.37698,
Peru,PER,2014,85.26575,
Peru,PER,2022,87.79749,
Peru,PER,2015,,South America
Philippines,PHL,1998,95.83333,
Philippines,PHL,2004,98.59591,
Philippines,PHL,2014,98.78781,
Philippines,PHL,2022,98.18874,
Philippines,PHL,2015,,Asia
Pitcairn,PCN,2015,,Oceania
Poland,POL,1993,90.3125,
Poland,POL,1998,89.6791,
Poland,POL,2004,91.49105,
Poland,POL,2010,89.45758,
Poland,POL,2014,92.14073,
Poland,POL,2022,93.32083,
Poland,POL,2015,,Europe
Portugal,PRT,1993,64.423,
Portugal,PRT,2004,84.06128,
Portugal,PRT,2010,77.80779,
Portugal,PRT,2022,87.76124,
Portugal,PRT,2015,,Europe
Puerto Rico,PRI,1998,92.61168,
Puerto Rico,PRI,2004,95.69444,
Puerto Rico,PRI,2022,93.43389,
Puerto Rico,PRI,2015,,North America
Qatar,QAT,2014,99.02484,
Qatar,QAT,2015,,Asia
Republic of Vietnam,OWID_RVN,2015,,Asia
Reunion,REU,2015,,Africa
Romania,ROU,1993,82.23029,
Romania,ROU,1998,88.61985,
Romania,ROU,2004,84.46771,
Romania,ROU,2010,85.21272,
Romania,ROU,2014,93.13805,
Romania,ROU,2022,90.69196,
Romania,ROU,2015,,Europe
Russia,RUS,1993,77.40948,
Russia,RUS,1998,83.72549,
Russia,RUS,2004,74.99268,
Russia,RUS,2010,85.34679,
Russia,RUS,2014,85.21432,
Russia,RUS,2022,80.53004,
Russia,RUS,2015,,Europe
Rwanda,RWA,2010,63.17186,
Rwanda,RWA,2014,91.74852,
Rwanda,RWA,2015,,Africa
Saint Barthelemy,BLM,2015,,North America
Saint Helena,SHN,2015,,Africa
Saint Kitts and Nevis,KNA,2015,,North America
Saint Lucia,LCA,2015,,North America
Saint Martin (French part),MAF,2015,,North America
Saint Pierre and Miquelon,SPM,2015,,North America
Saint Vincent and the Grenadines,VCT,2015,,North America
Samoa,WSM,2015,,Oceania
San Marino,SMR,2015,,Europe
Sao Tome and Principe,STP,2015,,Africa
Saudi Arabia,SAU,2004,94.74035,
Saudi Arabia,SAU,2015,,Asia
Saxony,OWID_SAX,2015,,Europe
Senegal,SEN,2015,,Africa
Serbia,SRB,1998,88.59375,
Serbia,SRB,2004,92,
Serbia,SRB,2010,88.5207,
Serbia,SRB,2022,91.02627,
Serbia,SRB,2015,,Europe
Serbia and Montenegro,OWID_SRM,2015,,Europe
Serbia excluding Kosovo,OWID_SEK,2015,,Europe
Seychelles,SYC,2015,,Africa
Sierra Leone,SLE,2015,,Africa
Singapore,SGP,2004,91.77657,
Singapore,SGP,2014,93.32065,
Singapore,SGP,2022,91.97635,
Singapore,SGP,2015,,Asia
Sint Maarten (Dutch part),SXM,2015,,North America
Slovakia,SVK,1993,87.5156,
Slovakia,SVK,1998,90.86758,
Slovakia,SVK,2004,87.32698,
Slovakia,SVK,2010,89.95577,
Slovakia,SVK,2022,89.22221,
Slovakia,SVK,2015,,Europe
Slovenia,SVN,1993,79.22705,
Slovenia,SVN,1998,82.02582,
Slovenia,SVN,2004,81.90855,
Slovenia,SVN,2010,85.56168,
Slovenia,SVN,2014,88.68102,
Slovenia,SVN,2022,84.84099,
Slovenia,SVN,2015,,Europe
Solomon Islands,SLB,2015,,Oceania
Somalia,SOM,2015,,Africa
Somaliland,OWID_SML,2015,,Africa
South Africa,ZAF,1993,89.30149,
South Africa,ZAF,1998,93.1088,
South Africa,ZAF,2004,95.23067,
South Africa,ZAF,2010,95.58499,
South Africa,ZAF,2014,92.51729,
South Africa,ZAF,2015,,Africa
South Georgia and the South Sandwich Islands,SGS,2015,,South America
South Korea,KOR,1993,92.72582,
South Korea,KOR,1998,90.07206,
South Korea,KOR,2004,89.58333,
South Korea,KOR,2010,92.2795,
South Korea,KOR,2014,91.31426,
South Korea,KOR,2022,88.91566,
South Korea,KOR,2015,,Asia
South Ossetia,OWID_SOS,2015,,Asia
South Sudan,SSD,2015,,Africa
Spain,ESP,1993,82.7287,
Spain,ESP,1998,81.76868,
Spain,ESP,2004,85.5373,
Spain,ESP,2010,85.63609,
Spain,ESP,2014,91.14768,
Spain,ESP,2022,87.27211,
Spain,ESP,2015,,Europe
Sri Lanka,LKA,2015,,Asia
Sudan,SDN,2015,,Africa
Suriname,SUR,2015,,South America
Svalbard and Jan Mayen,SJM,2015,,Europe
Sweden,SWE,1993,86.15091,
Sweden,SWE,1998,90.18831,
Sweden,SWE,2004,89.4185,
Sweden,SWE,2010,91.66026,
Sweden,SWE,2014,89.48621,
Sweden,SWE,2022,90.74711,
Sweden,SWE,2015,,Europe
Switzerland,CHE,1993,86.15226,
Switzerland,CHE,1998,80.92533,
Switzerland,CHE,2010,84.76477,
Switzerland,CHE,2022,85.48174,
Switzerland,CHE,2015,,Europe
Syria,SYR,2015,,Asia
Taiwan,TWN,1998,77.69231,
Taiwan,TWN,2010,91.73315,
Taiwan,TWN,2014,90.87318,
Taiwan,TWN,2022,90.77282,
Taiwan,TWN,2015,,Asia
Tajikistan,TJK,2022,95.91666,
Tajikistan,TJK,2015,,Asia
Tanzania,TZA,2004,89.58156,
Tanzania,TZA,2015,,Africa
Thailand,THA,2010,85.98435,
Thailand,THA,2014,88.7814,
Thailand,THA,2022,90.5188,
Thailand,THA,2015,,Asia
Togo,TGO,2015,,Africa
Tokelau,TKL,2015,,Oceania
Tonga,TON,2015,,Oceania
Transnistria,OWID_TRS,2015,,Europe
Trinidad and Tobago,TTO,2010,95.58994,
Trinidad and Tobago,TTO,2014,94.59459,
Trinidad and Tobago,TTO,2015,,North America
Tunisia,TUN,2014,97.59336,
Tunisia,TUN,2022,97.43378,
Tunisia,TUN,2015,,Africa
Turkey,TUR,1993,87.08738,
Turkey,TUR,1998,96.62687,
Turkey,TUR,2004,97.27255,
Turkey,TUR,2010,96.92463,
Turkey,TUR,2014,95.37193,
Turkey,TUR,2022,91.75983,
Turkey,TUR,2015,,Asia
Turkmenistan,TKM,2015,,Asia
Turks and Caicos Islands,TCA,2015,,North America
Tuscany,OWID_TUS,2015,,Europe
Tuvalu,TUV,2015,,Oceania
Two Sicilies,OWID_SIC,2015,,Europe
USSR,OWID_USS,2015,,Europe
Uganda,UGA,2004,90.98925,
Uganda,UGA,2015,,Africa
Ukraine,UKR,1998,85.66347,
Ukraine,UKR,2004,81.43573,
Ukraine,UKR,2010,86.61343,
Ukraine,UKR,2014,92.00346,
Ukraine,UKR,2022,85.02966,
Ukraine,UKR,2015,,Europe
United Arab Emirates,ARE,2015,,Asia
United Kingdom,GBR,1993,88.27081,
United Kingdom,GBR,2004,88.15636,
United Kingdom,GBR,2010,91.25683,
United Kingdom,GBR,2022,91.71779,
United Kingdom,GBR,2015,,Europe
United States,USA,1993,92.0743,
United States,USA,1998,95.20257,
United States,USA,2004,95.31785,
United States,USA,2010,94.19409,
United States,USA,2014,90.91785,
United States,USA,2022,91.04893,
United States,USA,2015,,North America
United States Minor Outlying Islands,UMI,2015,,Oceania
United States Virgin Islands,VIR,2015,,North America
Uruguay,URY,1998,91.25179,
Uruguay,URY,2010,89.3,
Uruguay,URY,2014,88.7,
Uruguay,URY,2022,91.44025,
Uruguay,URY,2015,,South America
Uzbekistan,UZB,2014,97.53333,
Uzbekistan,UZB,2015,,Asia
Vanuatu,VUT,2015,,Oceania
Vatican,VAT,2015,,Europe
Venezuela,VEN,1998,97.91667,
Venezuela,VEN,2004,97.75,
Venezuela,VEN,2022,83.44537,
Venezuela,VEN,2015,,South America
Vietnam,VNM,2004,82.2,
Vietnam,VNM,2010,81.20402,
Vietnam,VNM,2022,96.83333,
Vietnam,VNM,2015,,Asia
Wallis and Futuna,WLF,2015,,Oceania
West Germany,OWID_GFR,2015,,Europe
Western Sahara,ESH,2015,,Africa
Wuerttemburg,OWID_WRT,2015,,Europe
Yemen,YEM,2014,95.8,
Yemen,YEM,2015,,Asia
Yemen Arab Republic,OWID_YAR,2015,,Asia
Yemen People's Republic,OWID_YPR,2015,,Asia
Yugoslavia,OWID_YGS,2015,,Europe
Zambia,ZMB,2010,90.86667,
Zambia,ZMB,2015,,Africa
Zanzibar,OWID_ZAN,2015,,Africa
Zimbabwe,ZWE,2004,97.29703,
Zimbabwe,ZWE,2014,97.25068,
Zimbabwe,ZWE,2022,96.29019,
Zimbabwe,ZWE,2015,,Africa
