Entity,Code,Year,Gini coefficient
China (urban),,2010,0.35744524
China (urban),,2011,0.35559225
China (urban),,2012,0.3535335
China (urban),,2013,0.3668623
China (urban),,2014,0.36429673
China (urban),,2015,0.36156222
China (urban),,2016,0.36124825
China (urban),,2017,0.3694193
China (urban),,2018,0.36906132
China (urban),,2019,0.37052557
China (urban),,2020,0.36667654
Colombia,COL,1992,0.51453674
Colombia,COL,1996,0.5693691
Colombia,COL,1999,0.587396
Colombia,COL,2000,0.58682895
Colombia,COL,2001,0.5748304
Colombia,COL,2002,0.560189
Colombia,COL,2003,0.5358648
Colombia,COL,2004,0.54981047
Colombia,COL,2005,0.53913337
Colombia,COL,2008,0.55323243
Colombia,COL,2009,0.54296416
Colombia,COL,2010,0.54625475
Colombia,COL,2011,0.53490293
Colombia,COL,2012,0.5264548
Colombia,COL,2013,0.52632636
Colombia,COL,2014,0.52551013
Colombia,COL,2015,0.5099042
Colombia,COL,2016,0.5057068
Colombia,COL,2017,0.49715486
Colombia,COL,2018,0.50418705
Colombia,COL,2019,0.5133497
Colombia,COL,2020,0.5353081
Colombia,COL,2021,0.5149927
Colombia (urban),,1980,0.5912673
Colombia (urban),,1988,0.5310625
Colombia (urban),,1989,0.5359247
Colombia (urban),,1991,0.5131891
Comoros,COM,2004,0.5592516
Comoros,COM,2014,0.45334595
Congo,COG,2005,0.4733054
Congo,COG,2011,0.4893867
Costa Rica,CRI,1981,0.47494763
Costa Rica,CRI,1986,0.34424046
Costa Rica,CRI,1989,0.4557076
Costa Rica,CRI,1990,0.45301545
Costa Rica,CRI,1991,0.4664785
Costa Rica,CRI,1992,0.45712397
Costa Rica,CRI,1993,0.46003163
Costa Rica,CRI,1994,0.46752408
Costa Rica,CRI,1995,0.45712686
Costa Rica,CRI,1996,0.46541741
Costa Rica,CRI,1997,0.45617115
Costa Rica,CRI,1998,0.45667222
Costa Rica,CRI,1999,0.47665334
Costa Rica,CRI,2000,0.47449473
Costa Rica,CRI,2001,0.51515067
Costa Rica,CRI,2002,0.5182363
Costa Rica,CRI,2003,0.493087
Costa Rica,CRI,2004,0.48423937
Costa Rica,CRI,2005,0.47513703
Costa Rica,CRI,2006,0.49285266
Costa Rica,CRI,2007,0.493143
Costa Rica,CRI,2008,0.4864548
Costa Rica,CRI,2009,0.5056012
Costa Rica,CRI,2010,0.4804597
Costa Rica,CRI,2011,0.48762167
Costa Rica,CRI,2012,0.4841903
Costa Rica,CRI,2013,0.4915247
Costa Rica,CRI,2014,0.48634195
Costa Rica,CRI,2015,0.4837614
Costa Rica,CRI,2016,0.48706067
Costa Rica,CRI,2017,0.4834654
Costa Rica,CRI,2018,0.47972405
Costa Rica,CRI,2019,0.48191166
Costa Rica,CRI,2020,0.49248964
Costa Rica,CRI,2021,0.4867917
Costa Rica,CRI,2022,0.47152537
Cote d'Ivoire,CIV,1985,0.4552627
Cote d'Ivoire,CIV,1986,0.37969762
Cote d'Ivoire,CIV,1987,0.405101
Cote d'Ivoire,CIV,1988,0.36886287
Cote d'Ivoire,CIV,1992,0.39385766
Cote d'Ivoire,CIV,1995,0.40563822
Cote d'Ivoire,CIV,1998,0.38959962
Cote d'Ivoire,CIV,2002,0.4134004
Cote d'Ivoire,CIV,2008,0.43183732
Cote d'Ivoire,CIV,2015,0.414748
Cote d'Ivoire,CIV,2018,0.37168875
Croatia,HRV,1998,0.2874836
Croatia,HRV,1999,0.27706942
Croatia,HRV,2000,0.31325644
Croatia,HRV,2001,0.31102163
Croatia,HRV,2004,0.29677406
Croatia,HRV,2008,0.33708772
Croatia,HRV,2009,0.33183348
Croatia,HRV,2010,0.273541
Croatia,HRV,2011,0.32257435
Croatia,HRV,2012,0.3247515
Croatia,HRV,2013,0.31995484
Croatia,HRV,2014,0.32107148
Croatia,HRV,2015,0.31115314
Croatia,HRV,2016,0.30899724
Croatia,HRV,2017,0.30354577
Croatia,HRV,2018,0.29729474
Croatia,HRV,2019,0.2890909
Croatia,HRV,2020,0.29544285
Cyprus,CYP,2004,0.30089402
Cyprus,CYP,2005,0.30259457
Cyprus,CYP,2006,0.31125963
Cyprus,CYP,2007,0.31113273
Cyprus,CYP,2008,0.3170866
Cyprus,CYP,2009,0.32108846
Cyprus,CYP,2010,0.31457928
Cyprus,CYP,2011,0.32625523
Cyprus,CYP,2012,0.34312433
Cyprus,CYP,2013,0.37041992
Cyprus,CYP,2014,0.35565653
Cyprus,CYP,2015,0.33966377
Cyprus,CYP,2016,0.32891795
Cyprus,CYP,2017,0.31416234
Cyprus,CYP,2018,0.3273986
Cyprus,CYP,2019,0.31224227
Cyprus,CYP,2020,0.31727943
Czechia,CZE,1992,0.20703283
Czechia,CZE,1993,0.26604792
Czechia,CZE,1996,0.2579901
Czechia,CZE,2002,0.26555094
Czechia,CZE,2004,0.2753318
Czechia,CZE,2005,0.26946044
Czechia,CZE,2006,0.26744154
Czechia,CZE,2007,0.2599869
Czechia,CZE,2008,0.26280272
Czechia,CZE,2009,0.26156676
Czechia,CZE,2010,0.26623514
Czechia,CZE,2011,0.26381344
Czechia,CZE,2012,0.26110017
Czechia,CZE,2013,0.26473904
Czechia,CZE,2014,0.25923222
Czechia,CZE,2015,0.25867432
Czechia,CZE,2016,0.25406334
Czechia,CZE,2017,0.2485221
Czechia,CZE,2018,0.24990341
Czechia,CZE,2019,0.25262198
Czechia,CZE,2020,0.26245132
Democratic Republic of Congo,COD,2004,0.4216363
Democratic Republic of Congo,COD,2012,0.42099708
Denmark,DNK,1987,0.2623504
Denmark,DNK,1992,0.24693811
Denmark,DNK,1995,0.22955896
Denmark,DNK,2000,0.2376632
Denmark,DNK,2003,0.25631672
Denmark,DNK,2004,0.24912797
Denmark,DNK,2005,0.2518689
Denmark,DNK,2006,0.25913078
Denmark,DNK,2007,0.26184258
Denmark,DNK,2008,0.252465
Denmark,DNK,2009,0.2670156
Denmark,DNK,2010,0.2719856
Denmark,DNK,2011,0.27311745
Denmark,DNK,2012,0.2779075
Denmark,DNK,2013,0.28543764
Denmark,DNK,2014,0.2835288
Denmark,DNK,2015,0.28177446
Denmark,DNK,2016,0.28187442
Denmark,DNK,2017,0.28746662
Denmark,DNK,2018,0.28166336
Denmark,DNK,2019,0.27723646
Denmark,DNK,2020,0.27504268
Djibouti,DJI,2002,0.3999784
Djibouti,DJI,2012,0.45134252
Djibouti,DJI,2013,0.44127074
Djibouti,DJI,2017,0.4158799
Dominican Republic,DOM,1986,0.47780797
Dominican Republic,DOM,1989,0.50457865
Dominican Republic,DOM,1992,0.5135976
Dominican Republic,DOM,1996,0.4743444
Dominican Republic,DOM,1997,0.4892386
Dominican Republic,DOM,2000,0.515212
Dominican Republic,DOM,2001,0.49999225
Dominican Republic,DOM,2002,0.49677518
Dominican Republic,DOM,2003,0.5212729
Dominican Republic,DOM,2004,0.52056205
Dominican Republic,DOM,2005,0.4996821
Dominican Republic,DOM,2006,0.519631
Dominican Republic,DOM,2007,0.48859373
Dominican Republic,DOM,2008,0.48109168
Dominican Republic,DOM,2009,0.48875841
Dominican Republic,DOM,2010,0.473266
Dominican Republic,DOM,2011,0.47706905
Dominican Republic,DOM,2012,0.46133754
Dominican Republic,DOM,2013,0.47656393
Dominican Republic,DOM,2014,0.4428003
Dominican Republic,DOM,2015,0.45181635
Dominican Republic,DOM,2016,0.45723918
Dominican Republic,DOM,2017,0.42195615
Dominican Republic,DOM,2018,0.4368666
Dominican Republic,DOM,2019,0.41918564
Dominican Republic,DOM,2020,0.39631972
Dominican Republic,DOM,2021,0.38529852
East Timor,TLS,2001,0.35935292
East Timor,TLS,2007,0.27823317
East Timor,TLS,2014,0.28652927
Ecuador,ECU,1994,0.5336896
Ecuador,ECU,1999,0.58601993
Ecuador,ECU,2000,0.5637852
Ecuador,ECU,2003,0.5352869
Ecuador,ECU,2004,0.53931993
Ecuador,ECU,2005,0.5305848
Ecuador,ECU,2006,0.52251405
Ecuador,ECU,2007,0.5336345
Ecuador,ECU,2008,0.4979347
Ecuador,ECU,2009,0.4850599
Ecuador,ECU,2010,0.48804435
Ecuador,ECU,2011,0.4587748
Ecuador,ECU,2012,0.46112326
Ecuador,ECU,2013,0.46864903
Ecuador,ECU,2014,0.4499505
Ecuador,ECU,2015,0.45954296
Ecuador,ECU,2016,0.45020068
Ecuador,ECU,2017,0.4467303
Ecuador,ECU,2018,0.45440298
Ecuador,ECU,2019,0.45711532
Ecuador,ECU,2020,0.47311273
Ecuador,ECU,2021,0.4580044
Ecuador,ECU,2022,0.45466313
Ecuador (urban),,1987,0.50491965
Ecuador (urban),,1995,0.5096507
Ecuador (urban),,1998,0.4965703
Egypt,EGY,1990,0.32003942
Egypt,EGY,1995,0.3012696
Egypt,EGY,1999,0.32761502
Egypt,EGY,2004,0.31847546
Egypt,EGY,2008,0.31102437
Egypt,EGY,2010,0.30191457
Egypt,EGY,2012,0.28292203
Egypt,EGY,2015,0.31823358
Egypt,EGY,2017,0.31533954
Egypt,EGY,2019,0.31893557
El Salvador,SLV,1991,0.53951895
El Salvador,SLV,1995,0.49879736
El Salvador,SLV,1996,0.5098218
El Salvador,SLV,1998,0.54515713
El Salvador,SLV,1999,0.5219769
El Salvador,SLV,2000,0.5147437
El Salvador,SLV,2001,0.5137044
El Salvador,SLV,2002,0.5187049
El Salvador,SLV,2003,0.5049769
El Salvador,SLV,2004,0.47819686
El Salvador,SLV,2005,0.48484933
El Salvador,SLV,2006,0.4569256
El Salvador,SLV,2007,0.45217994
El Salvador,SLV,2008,0.46885678
El Salvador,SLV,2009,0.45825085
El Salvador,SLV,2010,0.4351413
El Salvador,SLV,2011,0.4231836
El Salvador,SLV,2012,0.41829276
El Salvador,SLV,2013,0.43358964
El Salvador,SLV,2014,0.41559842
El Salvador,SLV,2015,0.40551943
El Salvador,SLV,2016,0.3997858
El Salvador,SLV,2017,0.38007188
El Salvador,SLV,2018,0.38610572
El Salvador,SLV,2019,0.38778764
El Salvador,SLV,2021,0.39012462
El Salvador,SLV,2022,0.38757578
Estonia,EST,1993,0.3950345
Estonia,EST,1995,0.30064794
Estonia,EST,1998,0.37643075
Estonia,EST,2000,0.357844
Estonia,EST,2001,0.36012456
Estonia,EST,2002,0.35791573
Estonia,EST,2003,0.34909624
Estonia,EST,2004,0.35378188
Estonia,EST,2005,0.33448943
Estonia,EST,2006,0.33671072
Estonia,EST,2007,0.31180158
Estonia,EST,2008,0.31917077
Estonia,EST,2009,0.3144361
Estonia,EST,2010,0.320012
Estonia,EST,2011,0.32491633
Estonia,EST,2012,0.3291576
Estonia,EST,2013,0.35079786
Estonia,EST,2014,0.34591556
Estonia,EST,2015,0.3267033
Estonia,EST,2016,0.31196827
Estonia,EST,2017,0.30355027
Estonia,EST,2018,0.30321452
Estonia,EST,2019,0.30767542
Estonia,EST,2020,0.30737874
Eswatini,SWZ,1994,0.60454726
Eswatini,SWZ,2000,0.5311352
Eswatini,SWZ,2009,0.51452607
Eswatini,SWZ,2016,0.54579794
Ethiopia,ETH,1995,0.44564512
Ethiopia,ETH,1999,0.29975796
Ethiopia,ETH,2004,0.29806852
Ethiopia,ETH,2010,0.33170602
Ethiopia,ETH,2015,0.34993124
Ethiopia (rural),,1981,0.32424957
Fiji,FJI,2002,0.38102055
Fiji,FJI,2008,0.40375587
Fiji,FJI,2013,0.36696598
Fiji,FJI,2019,0.30706868
Finland,FIN,1987,0.22171399
Finland,FIN,1991,0.22879761
Finland,FIN,1995,0.23459136
Finland,FIN,2000,0.27156627
Finland,FIN,2003,0.27686605
Finland,FIN,2004,0.27897766
Finland,FIN,2005,0.27619594
Finland,FIN,2006,0.27999076
Finland,FIN,2007,0.28285572
Finland,FIN,2008,0.2783821
Finland,FIN,2009,0.27455446
Finland,FIN,2010,0.2771409
Finland,FIN,2011,0.2764282
Finland,FIN,2012,0.2709663
Finland,FIN,2013,0.27193958
Finland,FIN,2014,0.26776975
Finland,FIN,2015,0.2710204
Finland,FIN,2016,0.27078485
Finland,FIN,2017,0.27383086
Finland,FIN,2018,0.27329773
Finland,FIN,2019,0.27737328
Finland,FIN,2020,0.2709117
France,FRA,1970,0.37145555
France,FRA,1975,0.35918272
France,FRA,1979,0.34042618
France,FRA,1984,0.33400115
France,FRA,1990,0.32119063
France,FRA,1996,0.32016575
France,FRA,1997,0.3190015
France,FRA,1998,0.31657764
France,FRA,1999,0.32499772
France,FRA,2000,0.32553056
France,FRA,2001,0.3253329
France,FRA,2002,0.31778157
France,FRA,2003,0.31411117
France,FRA,2004,0.3064734
France,FRA,2005,0.29834014
France,FRA,2006,0.2969109
France,FRA,2007,0.32427728
France,FRA,2008,0.32996476
France,FRA,2009,0.32661268
France,FRA,2010,0.3372048
France,FRA,2011,0.3329475
France,FRA,2012,0.3311486
France,FRA,2013,0.32512635
France,FRA,2014,0.32262185
France,FRA,2015,0.32704335
France,FRA,2016,0.31923744
France,FRA,2017,0.31632066
France,FRA,2018,0.32380688
France,FRA,2019,0.31199586
France,FRA,2020,0.3066147
Gabon,GAB,2005,0.42184988
Gabon,GAB,2017,0.38024372
