Entity,Code,Year,Learning-Adjusted Years of School
Gabon,GAB,2017,6.03
Gabon,GAB,2018,6.024927
Gabon,GAB,2020,6.024927
Gambia,GMB,2010,4.263064
Gambia,GMB,2017,4.84
Gambia,GMB,2018,5.003186
Gambia,GMB,2020,5.3754196
Georgia,GEO,2010,7.8855686
Georgia,GEO,2017,8.88
Georgia,GEO,2018,9.153195
Georgia,GEO,2020,8.273992
Germany,DEU,2010,11.262253
Germany,DEU,2017,11.74
Germany,DEU,2018,11.264978
Germany,DEU,2020,11.03309
Ghana,GHA,2017,5.7
Ghana,GHA,2018,5.826932
Ghana,GHA,2020,5.9587283
Greece,GRC,2010,10.464372
Greece,GRC,2017,9.77
Greece,GRC,2018,10.073087
Greece,GRC,2020,9.964251
Grenada,GRD,2018,7.741019
Grenada,GRD,2020,8.273588
Guatemala,GTM,2010,6.0727935
Guatemala,GTM,2017,6.29
Guatemala,GTM,2018,6.2009287
Guatemala,GTM,2020,6.29769
Guinea,GIN,2017,4.54
Guinea,GIN,2018,4.6119046
Guinea,GIN,2020,4.56822
Guyana,GUY,2017,6.69
Guyana,GUY,2018,6.7632494
Guyana,GUY,2020,6.7632494
Haiti,HTI,2017,6.29
Haiti,HTI,2018,6.1498604
Haiti,HTI,2020,6.1498604
Honduras,HND,2017,6.38
Honduras,HND,2018,6.133804
Honduras,HND,2020,6.133804
Hong Kong,HKG,2010,11.556189
Hong Kong,HKG,2017,12.07
Hong Kong,HKG,2018,12.043218
Hong Kong,HKG,2020,11.886783
Hungary,HUN,2010,10.68446
Hungary,HUN,2017,10.74
Hungary,HUN,2018,10.6924305
Hungary,HUN,2020,10.271568
Iceland,ISL,2010,10.965888
Iceland,ISL,2017,10.65
Iceland,ISL,2018,10.705074
Iceland,ISL,2020,10.718311
India,IND,2017,5.78
India,IND,2018,6.9247475
India,IND,2020,7.1021705
Indonesia,IDN,2010,7.230374
Indonesia,IDN,2017,7.93
Indonesia,IDN,2018,7.93458
Indonesia,IDN,2020,7.8277683
Iran,IRN,2010,7.9503584
Iran,IRN,2017,8.07
Iran,IRN,2018,8.192462
Iran,IRN,2020,8.192462
Iraq,IRQ,2017,4
Iraq,IRQ,2018,4.004375
Iraq,IRQ,2020,4.0308604
Ireland,IRL,2010,11.299463
Ireland,IRL,2017,11.8
Ireland,IRL,2018,11.959568
Ireland,IRL,2020,11.594797
Israel,ISR,2010,10.416695
Israel,ISR,2017,11.08
Israel,ISR,2018,11.087428
Israel,ISR,2020,10.586509
Italy,ITA,2010,10.928949
Italy,ITA,2017,11.16
Italy,ITA,2018,10.890854
Italy,ITA,2020,10.451879
Jamaica,JAM,2017,7.25
Jamaica,JAM,2018,7.1720037
Jamaica,JAM,2020,7.057986
Japan,JPN,2010,12.002888
Japan,JPN,2017,12.29
Japan,JPN,2018,12.294594
Japan,JPN,2020,11.735149
Jordan,JOR,2010,7.877404
Jordan,JOR,2017,7.61
Jordan,JOR,2018,7.5474086
Jordan,JOR,2020,7.6661263
Kazakhstan,KAZ,2010,8.998002
Kazakhstan,KAZ,2017,11.47
Kazakhstan,KAZ,2018,11.797472
Kazakhstan,KAZ,2020,9.127437
Kenya,KEN,2017,7.79
Kenya,KEN,2018,8.413991
Kenya,KEN,2020,8.469239
Kiribati,KIR,2017,7.09
Kiribati,KIR,2018,6.872484
Kiribati,KIR,2020,7.381945
Kosovo,OWID_KOS,2017,7.7
Kosovo,OWID_KOS,2018,7.9088855
Kosovo,OWID_KOS,2020,7.8708215
Kuwait,KWT,2010,7.7299128
Kuwait,KWT,2017,7.63
Kuwait,KWT,2018,7.432086
Kuwait,KWT,2020,7.382034
Kyrgyzstan,KGZ,2017,8.44
Kyrgyzstan,KGZ,2018,8.637445
Kyrgyzstan,KGZ,2020,8.652101
Laos,LAO,2017,6.39
Laos,LAO,2018,6.309405
Laos,LAO,2020,6.252321
Latvia,LVA,2010,10.714331
Latvia,LVA,2017,11.27
Latvia,LVA,2018,11.557375
Latvia,LVA,2020,10.978801
Lebanon,LBN,2017,6.83
Lebanon,LBN,2018,6.579643
Lebanon,LBN,2020,6.3352394
Lesotho,LSO,2010,5.3775744
Lesotho,LSO,2017,5.5
Lesotho,LSO,2018,6.314051
Lesotho,LSO,2020,6.314051
Liberia,LBR,2017,2.34
Liberia,LBR,2018,2.2065024
Liberia,LBR,2020,2.2065024
Lithuania,LTU,2010,10.953849
Lithuania,LTU,2017,11.17
Lithuania,LTU,2018,11.367647
Lithuania,LTU,2020,10.975232
Luxembourg,LUX,2010,10.184711
Luxembourg,LUX,2017,9.91
Luxembourg,LUX,2018,9.929836
Luxembourg,LUX,2020,9.795577
Macao,MAC,2010,9.175985
Macao,MAC,2017,11
Macao,MAC,2018,11.072586
Macao,MAC,2020,11.573814
Madagascar,MDG,2010,5.1180897
Madagascar,MDG,2017,4.19
Madagascar,MDG,2018,4.713441
Madagascar,MDG,2020,4.713441
Malawi,MWI,2010,5.1356025
Malawi,MWI,2017,5.39
Malawi,MWI,2018,5.5110817
Malawi,MWI,2020,5.5056524
Malaysia,MYS,2010,8.286579
Malaysia,MYS,2017,9.11
Malaysia,MYS,2018,9.335915
Malaysia,MYS,2020,8.889285
Mali,MLI,2017,2.74
Mali,MLI,2018,2.860348
Mali,MLI,2020,2.5783932
Malta,MLT,2010,9.726167
Malta,MLT,2017,10.08
Malta,MLT,2018,10.193724
Malta,MLT,2020,10.193024
Marshall Islands,MHL,2018,5.0962
Marshall Islands,MHL,2020,5.659488
Mauritania,MRT,2017,3.42
Mauritania,MRT,2018,4.025404
Mauritania,MRT,2020,4.2314367
Mauritius,MUS,2010,9.054855
Mauritius,MUS,2017,9.46
Mauritius,MUS,2018,9.447635
Mauritius,MUS,2020,9.405725
Mexico,MEX,2010,8.503864
Mexico,MEX,2017,8.64
Mexico,MEX,2018,8.812746
Mexico,MEX,2020,8.824254
Micronesia (country),FSM,2018,6.2033944
Micronesia (country),FSM,2020,7.186352
Moldova,MDA,2010,7.9066463
Moldova,MDA,2017,8.21
Moldova,MDA,2018,8.250541
Moldova,MDA,2020,8.288821
Mongolia,MNG,2017,9.45
Mongolia,MNG,2018,9.193137
Mongolia,MNG,2020,9.153257
Montenegro,MNE,2010,8.023244
Montenegro,MNE,2017,8.55
Montenegro,MNE,2018,8.71593
Montenegro,MNE,2020,8.9080925
Morocco,MAR,2010,5.7517395
Morocco,MAR,2017,6.23
Morocco,MAR,2018,6.0500154
Morocco,MAR,2020,6.3176813
Mozambique,MOZ,2017,4.39
Mozambique,MOZ,2018,4.318279
Mozambique,MOZ,2020,4.471788
Myanmar,MMR,2017,6.7
Myanmar,MMR,2018,6.673929
Myanmar,MMR,2020,6.787967
Namibia,NAM,2010,5.4058714
Namibia,NAM,2017,5.82
Namibia,NAM,2018,6.134818
Namibia,NAM,2020,6.106065
Nauru,NRU,2020,6.5116167
Nepal,NPL,2017,6.89
Nepal,NPL,2018,7.1095786
Nepal,NPL,2020,7.226661
Netherlands,NLD,2010,11.739408
Netherlands,NLD,2017,11.71
Netherlands,NLD,2018,11.760834
Netherlands,NLD,2020,11.539022
New Zealand,NZL,2010,11.5202
New Zealand,NZL,2017,11.25
New Zealand,NZL,2018,11.333543
New Zealand,NZL,2020,11.390235
Nicaragua,NIC,2017,7.26
Nicaragua,NIC,2018,6.747723
Nicaragua,NIC,2020,6.747723
Niger,NER,2017,2.61
Niger,NER,2018,2.69209
Niger,NER,2020,2.682462
Nigeria,NGA,2017,4.25
Nigeria,NGA,2018,5.0383425
Nigeria,NGA,2020,5.0383425
North Macedonia,MKD,2010,7.052856
North Macedonia,MKD,2017,6.82
North Macedonia,MKD,2018,6.816772
North Macedonia,MKD,2020,7.296405
Norway,NOR,2010,11.301275
Norway,NOR,2017,11.24
Norway,NOR,2018,11.209513
Norway,NOR,2020,11.233873
Oman,OMN,2010,7.4834166
Oman,OMN,2017,8.9
Oman,OMN,2018,8.733114
Oman,OMN,2020,8.644991
Pakistan,PAK,2017,4.78
Pakistan,PAK,2018,5.0658207
Pakistan,PAK,2020,5.079235
Palau,PLW,2018,8.249453
Palau,PLW,2020,8.692236
Palestine,PSE,2017,7.5
Palestine,PSE,2018,7.88784
Palestine,PSE,2020,8.047291
Panama,PAN,2010,6.9109573
Panama,PAN,2017,7.19
Panama,PAN,2018,6.811759
Panama,PAN,2020,6.4808674
Papua New Guinea,PNG,2017,4.71
Papua New Guinea,PNG,2018,5.9078517
Papua New Guinea,PNG,2020,5.9989457
Paraguay,PRY,2010,6.9451528
Paraguay,PRY,2017,7.1
Paraguay,PRY,2018,6.976486
Paraguay,PRY,2020,6.976486
Peru,PER,2010,7.7179785
Peru,PER,2017,8.28
Peru,PER,2018,8.447705
Peru,PER,2020,8.632247
Philippines,PHL,2017,8.37
Philippines,PHL,2018,8.34696
Philippines,PHL,2020,7.492334
Poland,POL,2010,10.688769
Poland,POL,2017,11.34
Poland,POL,2018,11.517844
Poland,POL,2020,11.374183
Portugal,PRT,2010,11.013366
Portugal,PRT,2017,11.46
Portugal,PRT,2018,11.563686
Portugal,PRT,2020,11.310053
Qatar,QAT,2010,7.963889
Qatar,QAT,2017,8.5
Qatar,QAT,2018,8.734696
Qatar,QAT,2020,8.77822
Romania,ROU,2010,8.935521
Romania,ROU,2017,8.81
Romania,ROU,2018,8.613272
Romania,ROU,2020,8.369189
Russia,RUS,2010,9.808328
Russia,RUS,2017,11.9
Russia,RUS,2018,11.776281
Russia,RUS,2020,10.898087
Rwanda,RWA,2017,3.75
Rwanda,RWA,2018,3.8871112
Rwanda,RWA,2020,3.9257712
Saint Kitts and Nevis,KNA,2018,8.18676
Saint Kitts and Nevis,KNA,2020,8.477751
Saint Lucia,LCA,2018,8.201881
Saint Lucia,LCA,2020,8.4803295
Saint Vincent and the Grenadines,VCT,2018,7.798963
Saint Vincent and the Grenadines,VCT,2020,7.71073
Samoa,WSM,2018,6.6519566
Samoa,WSM,2020,7.2451687
Saudi Arabia,SAU,2010,7.4291887
Saudi Arabia,SAU,2017,8.1
Saudi Arabia,SAU,2018,8.0062895
Saudi Arabia,SAU,2020,7.8881774
Senegal,SEN,2010,4.5150957
Senegal,SEN,2017,4.78
Senegal,SEN,2018,4.8641224
Senegal,SEN,2020,4.838319
Serbia,SRB,2010,9.430452
Serbia,SRB,2017,11.15
Serbia,SRB,2018,11.210345
Serbia,SRB,2020,9.752607
Seychelles,SYC,2010,8.550605
Seychelles,SYC,2017,10.14
Seychelles,SYC,2018,9.674071
Seychelles,SYC,2020,9.700825
Sierra Leone,SLE,2017,4.52
Sierra Leone,SLE,2018,4.6573877
Sierra Leone,SLE,2020,4.8547077
Singapore,SGP,2010,12.450817
Singapore,SGP,2017,12.9
Singapore,SGP,2018,12.937873
Singapore,SGP,2020,12.81329
Slovakia,SVK,2010,10.243245
Slovakia,SVK,2017,10.38
Slovakia,SVK,2018,10.101996
Slovakia,SVK,2020,9.799783
Slovenia,SVN,2010,11.185949
Slovenia,SVN,2017,11.61
Slovenia,SVN,2018,11.61505
Slovenia,SVN,2020,11.370939
Solomon Islands,SLB,2017,5.34
Solomon Islands,SLB,2018,5.015643
Solomon Islands,SLB,2020,4.675106
South Africa,ZAF,2010,6.2357073
South Africa,ZAF,2017,5.11
South Africa,ZAF,2018,5.570013
South Africa,ZAF,2020,5.603404
South Korea,KOR,2010,12.246545
South Korea,KOR,2017,12.24
South Korea,KOR,2018,12.247689
South Korea,KOR,2020,11.684028
South Sudan,SSD,2017,2.28
South Sudan,SSD,2018,2.5113463
South Sudan,SSD,2020,2.5113463
Spain,ESP,2010,10.266474
Spain,ESP,2017,10.78
Spain,ESP,2018,10.662965
Spain,ESP,2020,10.514696
Sri Lanka,LKA,2017,8.3
Sri Lanka,LKA,2018,8.374124
Sri Lanka,LKA,2020,8.462184
Sudan,SDN,2017,4.42
Sudan,SDN,2018,4.299639
Sudan,SDN,2020,4.301438
Sweden,SWE,2010,11.119785
Sweden,SWE,2017,11.67
Sweden,SWE,2018,11.709058
Sweden,SWE,2020,11.580874
Switzerland,CHE,2010,11.223486
Switzerland,CHE,2017,11.13
Switzerland,CHE,2018,11.112429
Switzerland,CHE,2020,10.933773
Tajikistan,TJK,2017,7.67
Tajikistan,TJK,2018,7.721502
Tajikistan,TJK,2020,6.785475
Tanzania,TZA,2017,4.82
Tanzania,TZA,2018,4.474151
Tanzania,TZA,2020,4.4849176
Thailand,THA,2010,8.45008
Thailand,THA,2017,8.64
Thailand,THA,2018,8.855771
Thailand,THA,2020,8.68309
Togo,TGO,2010,4.5438156
Togo,TGO,2017,5.57
Togo,TGO,2018,5.709833
Togo,TGO,2020,5.9727387
Tonga,TON,2017,6.55
Tonga,TON,2018,6.845385
Tonga,TON,2020,7.1402106
Trinidad and Tobago,TTO,2010,8.134325
Trinidad and Tobago,TTO,2017,9.13
Trinidad and Tobago,TTO,2018,9.115808
Trinidad and Tobago,TTO,2020,9.115808
Tunisia,TUN,2010,6.803711
Tunisia,TUN,2017,6.27
Tunisia,TUN,2018,6.368259
Tunisia,TUN,2020,6.494052
Turkey,TUR,2010,9.119613
Turkey,TUR,2017,8.9
Turkey,TUR,2018,8.864876
Turkey,TUR,2020,9.227495
Tuvalu,TUV,2017,7.36
Tuvalu,TUV,2018,5.8087997
Tuvalu,TUV,2020,5.9977837
Uganda,UGA,2010,3.9197464
Uganda,UGA,2017,4.45
Uganda,UGA,2018,4.3321576
Uganda,UGA,2020,4.335872
Ukraine,UKR,2010,10.271507
Ukraine,UKR,2017,10.2
Ukraine,UKR,2018,10.121033
Ukraine,UKR,2020,9.874516
United Arab Emirates,ARE,2010,8.794636
United Arab Emirates,ARE,2017,9.49
United Arab Emirates,ARE,2018,9.717064
United Arab Emirates,ARE,2020,9.645997
United Kingdom,GBR,2010,11.32212
United Kingdom,GBR,2017,11.48
United Kingdom,GBR,2018,11.457277
United Kingdom,GBR,2020,11.538006
United States,USA,2010,10.35244
United States,USA,2017,11.14
United States,USA,2018,10.779745
United States,USA,2020,10.55677
Uruguay,URY,2010,8.48609
Uruguay,URY,2017,8.38
Uruguay,URY,2018,8.650635
Uruguay,URY,2020,8.551203
Uzbekistan,UZB,2020,9.133364
Vanuatu,VUT,2017,6.06
Vanuatu,VUT,2018,5.37012
Vanuatu,VUT,2020,5.6242585
Vietnam,VNM,2010,10.082015
Vietnam,VNM,2017,10.21
Vietnam,VNM,2018,10.643042
Vietnam,VNM,2020,10.680542
Yemen,YEM,2017,4.13
Yemen,YEM,2018,4.1787615
Yemen,YEM,2020,4.1787615
Zambia,ZMB,2017,5.25
Zambia,ZMB,2018,5.022243
Zambia,ZMB,2020,5.036293
Zimbabwe,ZWE,2010,6.8357744
Zimbabwe,ZWE,2017,6.35
Zimbabwe,ZWE,2018,7.0066104
Zimbabwe,ZWE,2020,7.0066104
